Time,SSID,BSSID,状态,信道,信号,接收速率(Mbps),传输速率 (Mbps)
2019/7/10 10:29,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019/7/10 10:29,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019/7/10 10:29,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019/7/10 10:29,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019/7/10 10:29,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019/7/10 10:29,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019/7/10 10:29,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019/7/10 10:29,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:34:08,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:34:10,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:34:13,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:34:15,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:12,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:14,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:16,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:18,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:21,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:23,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:25,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:27,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:29,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:31,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:33,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:36,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:38,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:40,QXZN-Qipai,c4:ff:1f:5f:f2:50,已连接,149,80%,120,120
2019-07-10 10:35:42,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,81%,90,90
2019-07-10 10:35:44,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,81%,90,90
2019-07-10 10:35:46,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,81%,90,90
2019-07-10 10:35:48,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,81%,90,90
2019-07-10 10:35:50,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,81%,90,90
2019-07-10 10:35:53,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,100%,90,90
2019-07-10 10:35:55,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,100%,90,90
2019-07-10 10:35:57,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,99%,90,90
2019-07-10 10:35:59,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,99%,90,90
2019-07-10 10:36:01,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,99%,90,90
2019-07-10 10:36:03,QXZN-Qipai,28:b4:48:cd:8d:d0,已连接,157,99%,90,90
